flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id
,,mushroom_body_extrinsic_neuron,hind_leg_hair_plate_neuron,,,,,reproductive_tract_chemosensation,proboscis_m6_muscle,,,,DL1_dorsal,,,,,,,,,,,,
,,mushroom_body_output_neuron,hind_leg_hook_chordotonal_organ_neuron,,,,,reproductive_tract_mechanosensation,proboscis_m7_muscle,,,,DL1_ventral,,,,,,,,,,,,
,,neck_motor_neuron,hind_leg_motor_neuron,,,,,sNPF,proboscis_m8_muscle,,,,DL2_dorsal,,,,,,,,,,,,
,,nutrient_sensory_neuron,hind_leg_multidendritic_neuron,,,,,stretch,proboscis_m9_muscle,,,,DL2_ventral,,,,,,,,,,,,
,,ocellar_centrifugal_neuron,hind_leg_neurosecretory_cell,,,,,sweet,ps1_muscle,,,,DM1_antero_dorsal,,,,,,,,,,,,
,,ocellar_intrinsic_neuron,hind_leg_orphan_neuron,,,,,Tk,ps2_muscle,,,,DM1_antero_ventral,,,,,,,,,,,,
,,ocellar_projection_neuron,hind_leg_taste_bristle_neuron,,,,,tonic_wing_steering,retina_muscle,,,,DM1_CX_d2,,,,,,,,,,,,
,,olfactory_receptor_neuron,internal_thermosensory_receptor_neuron,,,,,unknown_leg_movement,sclerite_rotator_muscle,,,,DM1_CX_p,,,,,,,,,,,,
,,optic_anterior,interocellar_bristle_neuron,,,,,vibro_position,sex_peptide_receptor,,,,DM1_CX_v,,,,,,,,,,,,
,,optic_lobe_intrinsic_centrifugal,interommatidial_bristle_neuron,,,,,vibro_tactile,sternal_adductor_muscle,,,,DM1_dorsal,,,,,,,,,,,,
,,orphan_neuron,johnstons_organ_A_neuron,,,,,water,sternal_anterior_rotator_muscle,,,,DM1_posterior,,,,,,,,,,,,
,,pars_intercerebralis_neurosecretory_cell,johnstons_organ_B_neuron,,,,,yeasty_volatile,sternal_posterior_rotator_muscle,,,,DM2_central,,,,,,,,,,,,
,,pars_lateralis_neurosecretory_cell,johnstons_organ_C_neuron,,,,,,sternotrochanter_extensor_muscle,,,,DM2_CX_d1,,,,,,,,,,,,
,,peripheral_intrinsic_neuron,johnstons_organ_D_neuron,,,,,,strand,,,,DM2_CX_d2,,,,,,,,,,,,
,,pharynx_motor_neuron,johnstons_organ_E_neuron,,,,,,tarsus_depressor_muscle,,,,DM2_CX_p,,,,,,,,,,,,
,,photoreceptor_neuron,johnstons_organ_F_neuron,,,,,,tarsus_levator_muscle,,,,DM2_CX_v,,,,,,,,,,,,
,,proboscis_motor_neuron,johnstons_organ_other_neuron,,,,,,taste_bristle,,,,DM2_or_DM3_posterior,,,,,,,,,,,,
,,proximal_distal_medulla_tangential,KCa'b',,,,,,taste_peg,,,,DM3__prim,,,,,,,,,,,,
,,proximal_medulla,KCab,,,,,,tergopleural_promotor_muscle,,,,DM3_CX_d1,,,,,,,,,,,,
,,reproductive_tract_sensory_neuron,KCapbp,,,,,,tergotrochanter_extensor_muscle,,,,DM3_CX_d2,,,,,,,,,,,,
,,salivary_motor_neuron,KCg,,,,,,thermosensory_sensillum,,,,DM3_CX_p,,,,,,,,,,,,
,,sequential_leg_neuromeres,labellum_bristle_neuron,,,,,,tibia_extensor_muscle,,,,DM3_CX_v,,,,,,,,,,,,
,,serpentine_medulla,labellum_external_taste_sensillum_neuron,,,,,,tibia_flexor_muscle,,,,DM3_dorso_lateral,,,,,,,,,,,,
,,single_leg_neuromere,labellum_orphan_neuron,,,,,,tp1_muscle,,,,DM3_dorso_medial,,,,,,,,,,,,
,,strand_neuron,labellum_taste_bristle_neuron,,,,,,tp2_muscle,,,,DM4__prim,,,,,,,,,,,,
,,subesophageal_zone_neurosecretory_cell,labellum_taste_peg_neuron,,,,,,tpn_muscle,,,,DM4_CX_d1,,,,,,,,,,,,
,,subesophageal_zone_projection_neuron,LNd,,,,,,transverse_horizontal_1_muscle,,,,DM4_CX_d2,,,,,,,,,,,,
,,taste_bristle_neuron,LPN,,,,,,transverse_horizontal_2_muscle,,,,DM4_CX_d3,,,,,,,,,,,,
,,taste_peg_neuron,mAL,,,,,,trochanter_extensor_muscle,,,,DM4_CX_p,,,,,,,,,,,,
,,thermosensory_receptor_neuron,maxillary_palp_bristle_neuron,,,,,,trochanter_flexor_muscle,,,,DM4_CX_v,,,,,,,,,,,,
,,thoracic_abdominal_segmental_motor_neuron,maxillary_palp_olfactory_receptor_neuron,,,,,,unknown_thoracic_abdominal_segmental,,,,DM4_dorsal,,,,,,,,,,,,
,,thoracic_abdominal_segmental_sensory_neuron,metathoracic_chordotonal_organ_neuron,,,,,,ventral_longitudinal_1_muscle,,,,DM4_ventral,,,,,,,,,,,,
,,translobula_plate,middle_leg_bilateral_campaniform_sensillum_neuron,,,,,,ventral_longitudinal_2_muscle,,,,DM5_central,,,,,,,,,,,,
,,transmedullary,middle_leg_bristle_neuron,,,,,,,,,,DM5_ventral,,,,,,,,,,,,
,,transmedullary_y,middle_leg_campaniform_sensillum_neuron,,,,,,,,,,DM6__prim,,,,,,,,,,,,
,,transverse_neuron,middle_leg_chordotonal_organ_neuron,,,,,,,,,,DM6_central1,,,,,,,,,,,,
,,tubercular_bulbar_neuron,middle_leg_claw_chordotonal_organ_neuron,,,,,,,,,,DM6_central2,,,,,,,,,,,,
,,unknown_motor_neuron,middle_leg_club_chordotonal_organ_neuron,,,,,,,,,,DM6_dorso_lateral,,,,,,,,,,,,
,,unknown_thoracic_abdominal_motor_neuron,middle_leg_hair_plate_neuron,,,,,,,,,,DM6_dorso_medial,,,,,,,,,,,,
,,uterus_motor_neuron,middle_leg_hook_chordotonal_organ_neuron,,,,,,,,,,DM6_IbSpsP,,,,,,,,,,,,
,,ventral_nerve_cord_centrifugal,middle_leg_motor_neuron,,,,,,,,,,DM6_posterior,,,,,,,,,,,,
,,ventral_nerve_cord_centripetal,middle_leg_multidendritic_neuron,,,,,,,,,,DM6_ventral,,,,,,,,,,,,
,,ventral_nerve_cord_dorsal,middle_leg_neurosecretory_cell,,,,,,,,,,EBa1,,,,,,,,,,,,
,,ventral_nerve_cord_neurosecretory_cell,middle_leg_orphan_neuron,,,,,,,,,,FLAa1,,,,,,,,,,,,
,,ventral_nerve_cord_serially_convergent,middle_leg_taste_bristle_neuron,,,,,,,,,,FLAa2,,,,,,,,,,,,
,,wedge_projection_neuron,multiglomerular_projection_neuron,,,,,,,,,,FLAa3,,,,,,,,,,,,
,,wing_motor_neuron,neck_chordotonal_organ_neuron,,,,,,,,,,LALa1_anterior,,,,,,,,,,,,
,,y_neuron,neck_neurosecretory_cell,,,,,,,,,,LALa1_posterior,,,,,,,,,,,,
,,,neck_pitch_motor_neuron,,,,,,,,,,LALv1_dorsal,,,,,,,,,,,,
,,,neck_roll_motor_neuron,,,,,,,,,,LALv1_ventral,,,,,,,,,,,,
,,,neck_roll_pitch_motor_neuron,,,,,,,,,,LB0_anterior,,,,,,,,,,,,
,,,neck_yaw_motor_neuron,,,,,,,,,,LB0_posterior,,,,,,,,,,,,
,,,neurohemal_complex_neurosecretory_cell,,,,,,,,,,LB12,,,,,,,,,,,,
,,,NO_input,,,,,,,,,,LB12__prim,,,,,,,,,,,,
,,,occipital_dorsal_bristle_neuron,,,,,,,,,,LB19,,,,,,,,,,,,
,,,ocellar_bristle_neuron,,,,,,,,,,LB23,,,,,,,,,,,,
,,,orbital_bristle_neuron,,,,,,,,,,LB3,,,,,,,,,,,,
,,,PAM_dopaminergic_neuron,,,,,,,,,,LB3__prim,,,,,,,,,,,,
,,,PB_input,,,,,,,,,,LB5,,,,,,,,,,,,
,,,PB_intrinsic,,,,,,,,,,LB6,,,,,,,,,,,,
,,,PEG,,,,,,,,,,LB7,,,,,,,,,,,,
,,,PEN,,,,,,,,,,LB7__prim,,,,,,,,,,,,
,,,PFG,,,,,,,,,,LHa1,,,,,,,,,,,,
,,,PFL,,,,,,,,,,LHa2,,,,,,,,,,,,
,,,PFN,,,,,,,,,,LHa3,,,,,,,,,,,,
,,,PFR,,,,,,,,,,LHd1,,,,,,,,,,,,
,,,pharynx_fishtrap_bristle_neuron,,,,,,,,,,LHd2,,,,,,,,,,,,
,,,pharynx_internal_taste_sensillum_neuron,,,,,,,,,,LHl1,,,,,,,,,,,,
,,,posterior_uterine_sensory_neuron,,,,,,,,,,LHl1__prim,,,,,,,,,,,,
,,,postocellar_bristle_neuron,,,,,,,,,,LHl2_dorsal,,,,,,,,,,,,
,,,postorbital_dorsal_bristle_neuron,,,,,,,,,,LHl2_ventral,,,,,,,,,,,,
,,,postorbital_ventral_bristle_neuron,,,,,,,,,,LHl3,,,,,,,,,,,,
,,,PPL1_dopaminergic_neuron,,,,,,,,,,LHl4_dorsal,,,,,,,,,,,,
,,,PPL2_dopaminergic_neuron,,,,,,,,,,LHl4_posterior,,,,,,,,,,,,
,,,PPM_dopaminergic_neuron,,,,,,,,,,LHp1,,,,,,,,,,,,
,,,prosternal_hair_plate_neuron,,,,,,,,,,LHp2,,,,,,,,,,,,
,,,putative_front_leg_claw_chordotonal_organ_neuron,,,,,,,,,,LHp3,,,,,,,,,,,,
,,,putative_front_leg_hair_plate_neuron,,,,,,,,,,MBp1,,,,,,,,,,,,
,,,putative_hind_leg_club_chordotonal_organ_neuron,,,,,,,,,,MBp2,,,,,,,,,,,,
,,,reproductive_tract_neurosecretory_cell,,,,,,,,,,MBp3,,,,,,,,,,,,
,,,retina_photoreceptor_neuron,,,,,,,,,,MBp4,,,,,,,,,,,,
,,,retrocerebral_complex_neurosecretory_cell,,,,,,,,,,MD_SA1,,,,,,,,,,,,
,,,sex_peptide_sensory_neuron,,,,,,,,,,MD0__prim,,,,,,,,,,,,
,,,thorax_bristle_neuron,,,,,,,,,,MD3,,,,,,,,,,,,
,,,thorax_campaniform_sensillum_neuron,,,,,,,,,,MX0__prim,,,,,,,,,,,,
,,,thorax_multidendritic_neuron,,,,,,,,,,MX12,,,,,,,,,,,,
,,,thorax_orphan_neuron,,,,,,,,,,MX12__prim,,,,,,,,,,,,
,,,thorax_thoracic_abdominal_segmental_sensory_neuron,,,,,,,,,,MX3,,,,,,,,,,,,
,,,uniglomerular_projection_neuron,,,,,,,,,,MX7,,,,,,,,,,,,
,,,unknown_orphan_neuron,,,,,,,,,,MX7__prim,,,,,,,,,,,,
,,,ureter_neurosecretory_cell,,,,,,,,,,no_lineage,,,,,,,,,,,,
,,,vDelta,,,,,,,,,,PBp1,,,,,,,,,,,,
,,,ventral_nerve_cord_bilateral_interconnecting,,,,,,,,,,primary,,,,,,,,,,,,
,,,ventral_nerve_cord_bilateral_restricted,,,,,,,,,,PSa1,,,,,,,,,,,,
,,,ventral_nerve_cord_contralateral_interconnecting,,,,,,,,,,PSp1,,,,,,,,,,,,
,,,ventral_nerve_cord_contralateral_restricted,,,,,,,,,,PSp2,,,,,,,,,,,,
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,,,,,,,,PSp3,,,,,,,,,,,,
,,,ventral_nerve_cord_ipsilateral_restricted,,,,,,,,,,putative_primary,,,,,,,,,,,,
,,,vibrissa_bristle_neuron,,,,,,,,,,SIPa1_dorsal,,,,,,,,,,,,
,,,wheelers_chordotonal_organ_neuron,,,,,,,,,,SIPa1_ventral,,,,,,,,,,,,
,,,wing_base_campaniform_sensillum_neuron,,,,,,,,,,SIPp1,,,,,,,,,,,,
,,,wing_base_chordotonal_organ_neuron,,,,,,,,,,SLPa&l1_anterior,,,,,,,,,,,,
,,,wing_campaniform_sensillum_neuron,,,,,,,,,,SLPa&l1_lateral,,,,,,,,,,,,
,,,wing_margin_bristle_neuron,,,,,,,,,,SLPad1_anterior,,,,,,,,,,,,
,,,wing_margin_taste_bristle_neuron,,,,,,,,,,SLPad1_posterior,,,,,,,,,,,,
,,,wing_multidendritic_neuron,,,,,,,,,,SLPal1,,,,,,,,,,,,
,,,wing_neurosecretory_cell,,,,,,,,,,SLPal2,,,,,,,,,,,,
,,,wing_peripheral_intrinsic_neuron,,,,,,,,,,SLPal3_and_SLPal4_dorsal,,,,,,,,,,,,
,,,wing_power_motor_neuron,,,,,,,,,,SLPal5,,,,,,,,,,,,
,,,wing_steering_motor_neuron,,,,,,,,,,SLPav1_lateral,,,,,,,,,,,,
,,,wing_tegula_campaniform_sensillum_neuron,,,,,,,,,,SLPav1_medial,,,,,,,,,,,,
,,,wing_tegula_chordotonal_organ_neuron,,,,,,,,,,SLPav2,,,,,,,,,,,,
,,,wing_tegula_hair_plate_neuron,,,,,,,,,,SLPav3,,,,,,,,,,,,
,,,wing_tegula_orphan_neuron,,,,,,,,,,SLPp&v1_posterior,,,,,,,,,,,,
,,,wing_tension_motor_neuron,,,,,,,,,,SLPp&v1_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpl1,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpl2,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpl3,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm1,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm2,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm3,,,,,,,,,,,,
,,,,,,,,,,,,,SLPpm4,,,,,,,,,,,,
,,,,,,,,,,,,,SMPad1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPad2,,,,,,,,,,,,
,,,,,,,,,,,,,SMPad3,,,,,,,,,,,,
,,,,,,,,,,,,,SMPp&v1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,SMPp&v1_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpd1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpd2,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpm1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpv1,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpv2_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,SMPpv2_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,TBD,,,,,,,,,,,,
,,,,,,,,,,,,,TRdl_a,,,,,,,,,,,,
,,,,,,,,,,,,,TRdl_b,,,,,,,,,,,,
,,,,,,,,,,,,,TRdm,,,,,,,,,,,,
,,,,,,,,,,,,,VESa1,,,,,,,,,,,,
,,,,,,,,,,,,,VESa2,,,,,,,,,,,,
,,,,,,,,,,,,,VLPa1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPa1_medial,,,,,,,,,,,,
,,,,,,,,,,,,,VLPa2,,,,,,,,,,,,
,,,,,,,,,,,,,VLPd&p1_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VLPd&p1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPd1,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&d1_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&d1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p2_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl&p2_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl1_or_VLPl5,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl2_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl2_medial,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl2_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl4_anterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPl4_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1__prim,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1_anterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp&l1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp1,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp2,,,,,,,,,,,,
,,,,,,,,,,,,,VLPp2__prim,,,,,,,,,,,,
,,,,,,,,,,,,,VPNd1,,,,,,,,,,,,
,,,,,,,,,,,,,VPNd2,,,,,,,,,,,,
,,,,,,,,,,,,,VPNd3,,,,,,,,,,,,
,,,,,,,,,,,,,VPNl&d1_dorsal,,,,,,,,,,,,
,,,,,,,,,,,,,VPNl&d1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VPNl&d1_medial_Lee,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp&v1_posterior,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp&v1_ventral,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp1_lateral,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp1_medial,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp2,,,,,,,,,,,,
,,,,,,,,,,,,,VPNp3,,,,,,,,,,,,
,,,,,,,,,,,,,VPNv1,,,,,,,,,,,,
,,,,,,,,,,,,,VPNv2,,,,,,,,,,,,
,,,,,,,,,,,,,WEDa1,,,,,,,,,,,,
,,,,,,,,,,,,,WEDa2,,,,,,,,,,,,
,,,,,,,,,,,,,WEDd1,,,,,,,,,,,,
,,,,,,,,,,,,,WEDd2,,,,,,,,,,,,